Datum,Tijd,Valutadatum,Product,ISIN,Omschrijving,FX,Mutatie,,Saldo,,Order Id
04-05-2025,00:39,02-05-2025,BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412,Dividend,,EUR,"89,38",EUR,"-7673,54",
30-04-2025,03:20,30-04-2025,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 3.000 EUR,,,,EUR,"-7762,92",
30-04-2025,03:20,30-04-2025,,,Degiro Cash Sweep Transfer,,EUR,"3000,00",EUR,"-4762,92",
30-04-2025,02:31,29-04-2025,,,iDEAL Deposit,,EUR,"1000,00",EUR,"-7762,92",
30-04-2025,02:31,29-04-2025,,,Reservation iDEAL,,EUR,"-1000,00",EUR,"-8762,92",
30-04-2025,02:30,29-04-2025,,,iDEAL Deposit,,EUR,"1000,00",EUR,"-7762,92",
30-04-2025,02:30,29-04-2025,,,Reservation iDEAL,,EUR,"-1000,00",EUR,"-8762,92",
30-04-2025,02:30,29-04-2025,,,iDEAL Deposit,,EUR,"1000,00",EUR,"-7762,92",
30-04-2025,02:30,29-04-2025,,,Reservation iDEAL,,EUR,"-1000,00",EUR,"-8762,92",
29-04-2025,13:03,29-04-2025,,,Reservation iDEAL,,EUR,"1000,00",EUR,"-7762,92",
29-04-2025,13:03,29-04-2025,,,Reservation iDEAL,,EUR,"1000,00",EUR,"-8762,92",
29-04-2025,13:03,29-04-2025,,,Reservation iDEAL,,EUR,"1000,00",EUR,"-9762,92",
16-04-2025,06:33,15-04-2025,,,Valuta Debitering,,EUR,"-1,29",EUR,"-10762,92",
16-04-2025,06:33,15-04-2025,,,Valuta Creditering,"1,1255",USD,"1,45",USD,"0,00",
15-04-2025,17:18,31-03-2025,,,Rente,,USD,"-1,45",USD,"-1,45",
14-04-2025,09:45,14-04-2025,BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-3,00",EUR,"-10761,63",b2c708d9-40ee-407c-89b2-f5a94145f219
14-04-2025,09:45,14-04-2025,BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412,Koop 5 @ 87 EUR,,EUR,"-435,00",EUR,"-10758,63",b2c708d9-40ee-407c-89b2-f5a94145f219
14-04-2025,09:45,14-04-2025,BE SEMICONDUCTOR INDUSTRIES NV,NL0012866412,Koop 6 @ 87 EUR,,EUR,"-522,00",EUR,"-10323,63",b2c708d9-40ee-407c-89b2-f5a94145f219
11-04-2025,21:53,11-04-2025,ADVANCED MICRO DEVICES INC,US0079031078,Valuta Creditering,"1,1310",USD,"1116,00",USD,"0,00",32392edf-4d8f-47f8-9f1a-bcce4cf5fbe2
11-04-2025,21:53,11-04-2025,ADVANCED MICRO DEVICES INC,US0079031078,Valuta Debitering,,EUR,"-986,77",EUR,"-9801,63",32392edf-4d8f-47f8-9f1a-bcce4cf5fbe2
11-04-2025,21:53,11-04-2025,ADVANCED MICRO DEVICES INC,US0079031078,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"-8814,86",32392edf-4d8f-47f8-9f1a-bcce4cf5fbe2
11-04-2025,21:53,11-04-2025,ADVANCED MICRO DEVICES INC,US0079031078,Koop 12 @ 93 USD,,USD,"-1116,00",USD,"-1116,00",32392edf-4d8f-47f8-9f1a-bcce4cf5fbe2
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Debitering,"1,1320",USD,"-10600,00",USD,"0,00",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Creditering,,EUR,"9363,77",EUR,"-8812,86",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Debitering,"1,1320",USD,"-2650,00",USD,"10600,00",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Creditering,,EUR,"2340,94",EUR,"-18176,63",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Debitering,"1,1320",USD,"-2650,00",USD,"13250,00",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Creditering,,EUR,"2340,94",EUR,"-20517,57",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"-22858,51",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,"Verkoop 400 @ 26,5 USD",,USD,"10600,00",USD,"15900,00",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,"Verkoop 100 @ 26,5 USD",,USD,"2650,00",USD,"5300,00",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:33,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,"Verkoop 100 @ 26,5 USD",,USD,"2650,00",USD,"2650,00",2e62b3ae-b1c2-4a6a-9fd4-a2f550e20e21
11-04-2025,18:19,11-04-2025,TRADE DESK INC CLASS A,US88339J1051,Valuta Creditering,"1,1265",USD,"1468,50",USD,"0,00",ec980b0b-a868-4d9b-b07b-1a0bf8fb2c90
11-04-2025,18:19,11-04-2025,TRADE DESK INC CLASS A,US88339J1051,Valuta Debitering,,EUR,"-1303,62",EUR,"-22856,51",ec980b0b-a868-4d9b-b07b-1a0bf8fb2c90
11-04-2025,18:19,11-04-2025,TRADE DESK INC CLASS A,US88339J1051,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"-21552,89",ec980b0b-a868-4d9b-b07b-1a0bf8fb2c90
11-04-2025,18:19,11-04-2025,TRADE DESK INC CLASS A,US88339J1051,"Koop 30 @ 48,95 USD",,USD,"-1468,50",USD,"-1468,50",ec980b0b-a868-4d9b-b07b-1a0bf8fb2c90
11-04-2025,18:14,11-04-2025,CROCS INC,US2270461096,Valuta Creditering,"1,1286",USD,"2248,50",USD,"0,00",a9c3f9c7-d906-4e6b-957c-cae48461e7a7
11-04-2025,18:14,11-04-2025,CROCS INC,US2270461096,Valuta Debitering,,EUR,"-1992,34",EUR,"-21550,89",a9c3f9c7-d906-4e6b-957c-cae48461e7a7
11-04-2025,18:14,11-04-2025,CROCS INC,US2270461096,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"-19558,55",a9c3f9c7-d906-4e6b-957c-cae48461e7a7
11-04-2025,18:14,11-04-2025,CROCS INC,US2270461096,"Koop 25 @ 89,94 USD",,USD,"-2248,50",USD,"-2248,50",a9c3f9c7-d906-4e6b-957c-cae48461e7a7
11-04-2025,18:09,11-04-2025,ADVANCED MICRO DEVICES INC,US0079031078,Valuta Creditering,"1,1286",USD,"1831,20",USD,"0,00",988a6759-194f-4ce9-92ea-4f78c9072132
11-04-2025,18:09,11-04-2025,ADVANCED MICRO DEVICES INC,US0079031078,Valuta Debitering,,EUR,"-1622,58",EUR,"-19556,55",988a6759-194f-4ce9-92ea-4f78c9072132
11-04-2025,18:09,11-04-2025,ADVANCED MICRO DEVICES INC,US0079031078,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"-17933,97",988a6759-194f-4ce9-92ea-4f78c9072132
11-04-2025,18:09,11-04-2025,ADVANCED MICRO DEVICES INC,US0079031078,"Koop 20 @ 91,56 USD",,USD,"-1831,20",USD,"-1831,20",988a6759-194f-4ce9-92ea-4f78c9072132
11-04-2025,18:08,11-04-2025,DRAFTKINGS INC CLASS A,US26142V1052,Valuta Creditering,"1,1288",USD,"1174,43",USD,"0,00",1c5dd8aa-83c2-4929-8444-fb7edded97d8
11-04-2025,18:08,11-04-2025,DRAFTKINGS INC CLASS A,US26142V1052,Valuta Debitering,,EUR,"-1040,45",EUR,"-17931,97",1c5dd8aa-83c2-4929-8444-fb7edded97d8
11-04-2025,18:08,11-04-2025,DRAFTKINGS INC CLASS A,US26142V1052,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"-16891,52",1c5dd8aa-83c2-4929-8444-fb7edded97d8
11-04-2025,18:08,11-04-2025,DRAFTKINGS INC CLASS A,US26142V1052,"Koop 35 @ 33,555 USD",,USD,"-1174,42",USD,"-1174,43",1c5dd8aa-83c2-4929-8444-fb7edded97d8
11-04-2025,18:08,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Creditering,"1,1288",USD,"18025,60",USD,"0,00",787a0498-0d1b-4628-9aee-6e05c2e496fc
11-04-2025,18:08,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Debitering,,EUR,"-15969,23",EUR,"-16889,52",787a0498-0d1b-4628-9aee-6e05c2e496fc
11-04-2025,18:08,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Creditering,"1,1288",USD,"314,28",USD,"-18025,60",787a0498-0d1b-4628-9aee-6e05c2e496fc
11-04-2025,18:08,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Debitering,,EUR,"-278,43",EUR,"-920,29",787a0498-0d1b-4628-9aee-6e05c2e496fc
11-04-2025,18:08,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"-641,86",787a0498-0d1b-4628-9aee-6e05c2e496fc
11-04-2025,18:08,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,"Koop 688 @ 26,2 USD",,USD,"-18025,60",USD,"-18339,88",787a0498-0d1b-4628-9aee-6e05c2e496fc
11-04-2025,18:08,11-04-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,"Koop 12 @ 26,19 USD",,USD,"-314,28",USD,"-314,28",787a0498-0d1b-4628-9aee-6e05c2e496fc
06-04-2025,04:51,31-03-2025,,,Flatex Interest Income,,USD,"0,00",USD,"0,00",
05-04-2025,20:41,31-03-2025,,,Flatex Interest Income,,EUR,"0,00",EUR,"-639,86",
05-04-2025,16:52,31-03-2025,,,Flatex Interest Income,,GBP,"0,00",GBP,"0,00",
04-04-2025,12:36,31-03-2025,,,Rente,,EUR,"-2,50",EUR,"-639,86",
31-03-2025,16:08,31-03-2025,SHOPIFY INC CLASS A,CA82509L1076,"PRODUCTWIJZIGING : Koop 66 @ 96,68 USD",,USD,"-6380,88",USD,"0,00",
31-03-2025,16:08,31-03-2025,SHOPIFY INC,CA82509L1076,"PRODUCTWIJZIGING : Verkoop 66 @ 96,68 USD",,USD,"6380,88",USD,"6380,88",
28-03-2025,06:48,27-03-2025,,,Valuta Creditering,,EUR,"3,30",EUR,"-637,36",
28-03-2025,06:48,27-03-2025,,,Valuta Debitering,"1,0828",USD,"-3,57",USD,"0,00",
27-03-2025,07:14,26-03-2025,META PLATFORMS INC CLASS A,US30303M1027,Dividendbelasting,,USD,"-0,63",USD,"3,57",
27-03-2025,07:14,26-03-2025,META PLATFORMS INC CLASS A,US30303M1027,Dividend,,USD,"4,20",USD,"4,20",
25-03-2025,07:40,25-03-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 375,69 EUR",,,,EUR,"-640,66",
25-03-2025,07:40,25-03-2025,,,Degiro Cash Sweep Transfer,,EUR,"375,69",EUR,"-264,97",
25-03-2025,06:35,24-03-2025,,,Valuta Debitering,,EUR,"-1016,35",EUR,"-640,66",
25-03-2025,06:35,24-03-2025,,,Valuta Creditering,"1,0774",USD,"1095,06",USD,"0,00",
20-03-2025,07:00,20-03-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 624,31 EUR",,,,EUR,"375,69",
20-03-2025,07:00,20-03-2025,,,Degiro Cash Sweep Transfer,,EUR,"624,31",EUR,"1000,00",
20-03-2025,05:00,19-03-2025,,,iDEAL Deposit,,EUR,"1000,00",EUR,"375,69",
20-03-2025,05:00,19-03-2025,,,Reservation iDEAL,,EUR,"-1000,00",EUR,"-624,31",
20-03-2025,02:02,19-03-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 4,94 USD",,,,USD,"-1095,06",
20-03-2025,02:02,19-03-2025,,,Degiro Cash Sweep Transfer,,USD,"4,94",USD,"-1090,12",
19-03-2025,15:30,19-03-2025,TRADE DESK INC CLASS A,US88339J1051,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"375,69",f43d53c4-fb4c-4a7f-b290-39e4e41ef6b9
19-03-2025,15:30,19-03-2025,TRADE DESK INC CLASS A,US88339J1051,Koop 20 @ 55 USD,,USD,"-1100,00",USD,"-1095,06",f43d53c4-fb4c-4a7f-b290-39e4e41ef6b9
19-03-2025,14:33,19-03-2025,,,Reservation iDEAL,,EUR,"1000,00",EUR,"377,69",
14-03-2025,08:50,14-03-2025,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 4,94 USD",,,,USD,"4,94",
14-03-2025,08:50,14-03-2025,,,Degiro Cash Sweep Transfer,,USD,"-4,94",USD,"0,00",
14-03-2025,07:34,13-03-2025,MICROSOFT CORP,US5949181045,Dividendbelasting,,USD,"-0,87",USD,"4,94",
14-03-2025,07:34,13-03-2025,MICROSOFT CORP,US5949181045,Dividend,,USD,"5,81",USD,"5,81",
07-03-2025,06:40,06-03-2025,,,Valuta Debitering,,EUR,"-1,86",EUR,"-622,31",
07-03-2025,06:40,06-03-2025,,,Valuta Creditering,"1,0758",USD,"2,00",USD,"0,00",
07-03-2025,04:51,07-03-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 349,04 EUR",,,,EUR,"-620,45",
07-03-2025,04:51,07-03-2025,,,Degiro Cash Sweep Transfer,,EUR,"349,04",EUR,"-271,41",
06-03-2025,14:04,28-02-2025,,,Rente,,USD,"-2,00",USD,"-2,00",
06-03-2025,06:38,05-03-2025,,,Valuta Debitering,,EUR,"-969,49",EUR,"-620,45",
06-03-2025,06:38,05-03-2025,,,Valuta Creditering,"1,0762",USD,"1043,33",USD,"0,00",
06-03-2025,03:51,06-03-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 2.069,59 EUR",,,,EUR,"349,04",
06-03-2025,03:51,06-03-2025,,,Degiro Cash Sweep Transfer,,EUR,"2069,59",EUR,"2418,63",
05-03-2025,15:57,05-03-2025,TRADE DESK INC CLASS A,US88339J1051,Valuta Creditering,"1,0736",USD,"660,00",USD,"-1043,33",625fb43a-e907-4d30-b2a0-af8482ae8175
05-03-2025,15:57,05-03-2025,TRADE DESK INC CLASS A,US88339J1051,Valuta Debitering,,EUR,"-614,75",EUR,"349,04",625fb43a-e907-4d30-b2a0-af8482ae8175
05-03-2025,15:57,05-03-2025,TRADE DESK INC CLASS A,US88339J1051,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"963,79",625fb43a-e907-4d30-b2a0-af8482ae8175
05-03-2025,15:57,05-03-2025,TRADE DESK INC CLASS A,US88339J1051,Koop 10 @ 66 USD,,USD,"-660,00",USD,"-1703,33",625fb43a-e907-4d30-b2a0-af8482ae8175
05-03-2025,15:49,05-03-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Creditering,"1,0733",USD,"1557,20",USD,"-1043,33",e25d072c-5785-4144-b310-1a836c852dd1
05-03-2025,15:49,05-03-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Debitering,,EUR,"-1450,84",EUR,"965,79",e25d072c-5785-4144-b310-1a836c852dd1
05-03-2025,15:49,05-03-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"2416,63",e25d072c-5785-4144-b310-1a836c852dd1
05-03-2025,15:49,05-03-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,"Koop 40 @ 38,93 USD",,USD,"-1557,20",USD,"-2600,53",e25d072c-5785-4144-b310-1a836c852dd1
28-02-2025,05:23,27-02-2025,,,iDEAL Deposit,,EUR,"1000,00",EUR,"2418,63",
28-02-2025,05:23,27-02-2025,,,Reservation iDEAL,,EUR,"-1000,00",EUR,"1418,63",
28-02-2025,05:21,27-02-2025,,,iDEAL Deposit,,EUR,"1000,00",EUR,"2418,63",
28-02-2025,05:21,27-02-2025,,,Reservation iDEAL,,EUR,"-1000,00",EUR,"1418,63",
27-02-2025,19:11,27-02-2025,,,Degiro Cash Sweep Transfer,,EUR,"-418,63",EUR,"2418,63",
27-02-2025,19:11,27-02-2025,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 418,63 EUR",,,,EUR,"2837,26",
27-02-2025,13:37,27-02-2025,AMG CRITICAL MATERIALS NV,NL0000888691,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-3,00",EUR,"2418,63",28abc40f-9f27-49fb-aa15-106e74ae0916
27-02-2025,13:37,27-02-2025,AMG CRITICAL MATERIALS NV,NL0000888691,"Verkoop 140 @ 17,2 EUR",,EUR,"2408,00",EUR,"2421,63",28abc40f-9f27-49fb-aa15-106e74ae0916
27-02-2025,01:50,26-02-2025,,,Degiro Cash Sweep Transfer,,EUR,"141,62",EUR,"13,63",
27-02-2025,01:50,26-02-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 141,62 EUR",,,,EUR,"-127,99",
26-02-2025,15:46,26-02-2025,TRADE DESK INC CLASS A,US88339J1051,Valuta Creditering,"1,0465",USD,"2224,80",USD,"-1043,33",00f3a443-cb10-4724-8cdc-75df54a3116e
26-02-2025,15:46,26-02-2025,TRADE DESK INC CLASS A,US88339J1051,Valuta Debitering,,EUR,"-2125,99",EUR,"13,63",00f3a443-cb10-4724-8cdc-75df54a3116e
26-02-2025,15:46,26-02-2025,TRADE DESK INC CLASS A,US88339J1051,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"2139,62",00f3a443-cb10-4724-8cdc-75df54a3116e
26-02-2025,15:46,26-02-2025,TRADE DESK INC CLASS A,US88339J1051,"Koop 30 @ 74,16 USD",,USD,"-2224,80",USD,"-3268,13",00f3a443-cb10-4724-8cdc-75df54a3116e
26-02-2025,15:43,26-02-2025,,,Reservation iDEAL,,EUR,"1000,00",EUR,"2141,62",
26-02-2025,15:42,26-02-2025,,,Reservation iDEAL,,EUR,"1000,00",EUR,"1141,62",
22-02-2025,02:20,21-02-2025,,,Degiro Cash Sweep Transfer,,EUR,"2,00",EUR,"141,62",
22-02-2025,02:20,21-02-2025,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 2 EUR,,,,EUR,"139,62",
22-02-2025,01:50,21-02-2025,,,Degiro Cash Sweep Transfer,,USD,"5586,67",USD,"-1043,33",
22-02-2025,01:50,21-02-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 5.586,67 USD",,,,USD,"-6630,00",
21-02-2025,20:43,21-02-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"141,62",797b5b4f-21c6-4021-a520-19423f3eec65
21-02-2025,20:43,21-02-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,Koop 130 @ 51 USD,,USD,"-6630,00",USD,"-1043,33",797b5b4f-21c6-4021-a520-19423f3eec65
20-02-2025,19:32,20-02-2025,,,Degiro Cash Sweep Transfer,,EUR,"-10,34",EUR,"143,62",
20-02-2025,19:32,20-02-2025,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 10,34 EUR",,,,EUR,"153,96",
20-02-2025,06:58,19-02-2025,ASML HOLDING NV,NL0010273215,Dividendbelasting,,EUR,"-1,82",EUR,"143,62",
20-02-2025,06:58,19-02-2025,ASML HOLDING NV,NL0010273215,Dividend,,EUR,"12,16",EUR,"145,44",
14-02-2025,02:12,13-02-2025,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 5.583,5 USD",,,,USD,"5586,67",
14-02-2025,02:12,13-02-2025,,,Degiro Cash Sweep Transfer,,USD,"-5583,50",USD,"3,17",
14-02-2025,02:02,13-02-2025,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 2 EUR,,,,EUR,"133,28",
14-02-2025,02:02,13-02-2025,,,Degiro Cash Sweep Transfer,,EUR,"2,00",EUR,"135,28",
13-02-2025,19:45,13-02-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-2,00",EUR,"133,28",08eef7c0-4145-43f2-a771-88edd3b4e6ea
13-02-2025,19:45,13-02-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,"Verkoop 95 @ 55,835 USD",,USD,"5304,32",USD,"5586,67",08eef7c0-4145-43f2-a771-88edd3b4e6ea
13-02-2025,19:45,13-02-2025,HIMS & HERS HEALTH INC CLASS A,US4330001060,"Verkoop 5 @ 55,835 USD",,USD,"279,18",USD,"282,34",08eef7c0-4145-43f2-a771-88edd3b4e6ea
07-02-2025,04:30,06-02-2025,,,Overboeking van uw geldrekening bij flatexDEGIRO Bank 10 EUR,,,,EUR,"135,28",
07-02-2025,04:30,06-02-2025,,,Degiro Cash Sweep Transfer,,EUR,"10,00",EUR,"145,28",
06-02-2025,17:13,31-01-2025,,,DEGIRO Aansluitingskosten 2025 (New York Stock Exchange - NSY),,EUR,"-2,50",EUR,"135,28",
06-02-2025,17:13,31-01-2025,,,DEGIRO Aansluitingskosten 2025 (Nasdaq - NDQ),,EUR,"-2,50",EUR,"137,78",
06-02-2025,17:13,31-01-2025,,,DEGIRO Aansluitingskosten 2025 (Euronext Milan - MIL),,EUR,"-2,50",EUR,"140,28",
06-02-2025,17:13,31-01-2025,,,DEGIRO Aansluitingskosten 2025 (Xetra - XET),,EUR,"-2,50",EUR,"142,78",
17-01-2025,19:00,17-01-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 354,72 EUR",,,,EUR,"145,28",
17-01-2025,19:00,17-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"354,72",EUR,"500,00",
17-01-2025,10:02,16-01-2025,,,iDEAL Deposit,,EUR,"500,00",EUR,"145,28",
17-01-2025,10:02,16-01-2025,,,Reservation iDEAL,,EUR,"-500,00",EUR,"-354,72",
16-01-2025,18:15,16-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"17,19",EUR,"145,28",
16-01-2025,18:15,16-01-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 17,19 EUR",,,,EUR,"128,09",
16-01-2025,14:01,16-01-2025,,,Reservation iDEAL,,EUR,"500,00",EUR,"145,28",
16-01-2025,11:39,16-01-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE00B5BMR087,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-3,00",EUR,"-354,72",c91ecdec-e557-41b3-9266-0fc7c6a5b5d3
16-01-2025,11:39,16-01-2025,ISHARES CORE S&P 500 UCITS ETF USD,IE00B5BMR087,"Koop 9 @ 615,59 EUR",,EUR,"-5540,31",EUR,"-351,72",c91ecdec-e557-41b3-9266-0fc7c6a5b5d3
16-01-2025,11:36,16-01-2025,ISHARES MSCI INDIA UCITS USD (ACC) ETF,IE00BZCQB185,"Verkoop 582 @ 8,8 EUR",,EUR,"5121,60",EUR,"5188,59",e6947e13-6584-43ee-b9b0-681b5dc379f0
16-01-2025,11:35,16-01-2025,ISHARES MSCI INDIA UCITS USD (ACC) ETF,IE00BZCQB185,"Verkoop 2 @ 8,8 EUR",,EUR,"17,60",EUR,"66,99",e6947e13-6584-43ee-b9b0-681b5dc379f0
16-01-2025,11:35,16-01-2025,ISHARES MSCI INDIA UCITS USD (ACC) ETF,IE00BZCQB185,"Verkoop 1 @ 8,8 EUR",,EUR,"8,80",EUR,"49,39",e6947e13-6584-43ee-b9b0-681b5dc379f0
16-01-2025,11:33,16-01-2025,ISHARES MSCI INDIA UCITS USD (ACC) ETF,IE00BZCQB185,DEGIRO Transactiekosten en/of kosten van derden,,EUR,"-3,00",EUR,"40,59",e6947e13-6584-43ee-b9b0-681b5dc379f0
16-01-2025,11:33,16-01-2025,ISHARES MSCI INDIA UCITS USD (ACC) ETF,IE00BZCQB185,"Verkoop 3 @ 8,8 EUR",,EUR,"26,40",EUR,"43,59",e6947e13-6584-43ee-b9b0-681b5dc379f0
11-01-2025,06:11,02-01-2025,,,Flatex Interest Income,,GBP,"0,00",GBP,"0,00",
10-01-2025,12:45,09-01-2025,FLATEX USD BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,USD,"-0,23",USD,"3,17",
10-01-2025,12:45,09-01-2025,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 0,23 USD",,,,USD,"3,40",
09-01-2025,13:15,08-01-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,23 USD",,,,USD,"3,17",
09-01-2025,13:15,08-01-2025,FLATEX USD BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,USD,"0,23",USD,"3,40",
09-01-2025,07:50,02-01-2025,,,Flatex Interest Income,,EUR,"0,00",EUR,"17,19",
08-01-2025,12:00,07-01-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,23 USD",,,,USD,"3,17",
08-01-2025,12:00,07-01-2025,FLATEX USD BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,USD,"0,23",USD,"3,40",
08-01-2025,05:30,07-01-2025,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"0,01",EUR,"17,19",
08-01-2025,05:30,07-01-2025,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 0,01 EUR",,,,EUR,"17,18",
07-01-2025,13:45,31-12-2024,,,Rente,,USD,"-0,23",USD,"3,17",
07-01-2025,13:45,31-12-2024,,,Rente,,EUR,"-0,01",EUR,"17,19",
05-01-2025,19:00,02-01-2025,,,Flatex Interest Income,,USD,"0,00",USD,"3,40",
31-12-2024,10:45,30-12-2024,,,"Overboeking naar uw geldrekening bij flatexDEGIRO Bank: 3,4 USD",,,,USD,"3,40",
31-12-2024,10:45,30-12-2024,FLATEX USD BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,USD,"-3,40",USD,"0,00",
30-12-2024,07:20,27-12-2024,META PLATFORMS INC CLASS A,US30303M1027,Dividendbelasting,,USD,"-0,60",USD,"3,40",
30-12-2024,07:20,27-12-2024,META PLATFORMS INC CLASS A,US30303M1027,Dividend,,USD,"4,00",USD,"4,00",
23-12-2024,10:45,20-12-2024,,,"Overboeking van uw geldrekening bij flatexDEGIRO Bank 11,68 EUR",,,,EUR,"17,20",
23-12-2024,10:45,20-12-2024,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,"11,68",EUR,"28,88",
20-12-2024,16:45,20-12-2024,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Creditering,"1,0381",USD,"480,55",USD,"0,00",99489d8e-5acd-4622-8afc-de15a2d0febf
20-12-2024,16:45,20-12-2024,HIMS & HERS HEALTH INC CLASS A,US4330001060,Valuta Debitering,,EUR,"-462,91",EUR,"17,20",99489d8e-5acd-4622-8afc-de15a2d0febf
